ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier Part	Price
"1"	"TMB12A05"	"BUZZER"	"B-12*7.5"	"1"	"TMB12A05"	"HNDZ"	"C96093"	"0.194"
"2"	"100nF"	"C1,C3,C5,C6,C8,C9,C10,C13,C15"	"0402"	"9"	"CL05B104KO5NNNC"	"SAMSUNG"	"C1525"	"0.006"
"3"	"10uF"	"C2,C4,C7,C11"	"0603"	"4"	"CL10A106KP8NNNC"	"SAMSUNG"	"C19702"	"0.035"
"4"	"10uF"	"C12,C14"	"CAP-CASE-A_3216"	"2"	"TAJA106K016RNJ"	"AVX"	"C7171"	"0.165"
"5"	"470uF"	"C16"	"CAP-TH_BD8.0-P3.50-D1.0-FD"	"1"	"KW471M016F090A"	"CapXon"	"C59433"	"0.061"
"6"	"SS14"	"D1"	"SMA(DO-214AC)"	"1"	"SS14"	"MDD"	"C2480"	"0.019"
"7"	"1206L175SLYR"	"F"	"1206"	"1"	"1206L175SLYR"	"Littelfuse"	"C207039"	"1.413"
"8"	"LEDOrange orange 3AO4UD"	"GRN,RED,YLW"	"LED-TH_BD3.8-P2.54-FD"	"3"	"LEDOrange orange 3AO4UD"	"KENTO"	"C62095"	""
"9"	"DB125-3.81-2P"	"HIGH,POWER,PUMP,SLEEP"	"CONN-TH_2PIN-V-PITCH3.81-L_JL15EDGVC-38102G01"	"4"	"DB125-3.81-2P"	"DIBO"	"C395878"	"0.201"
"10"	"XH2.54-4P"	"LOW,NORMAL,RESERV"	"XH2.54-4P"	"3"	"?"	""	"undefined"	""
"11"	"AO4407A"	"Q1"	"SOIC-8_150MIL"	"1"	"AO4407A"	"AOS"	"C16072"	"0.273"
"12"	"MMBT3904"	"Q2"	"SOT-23(SOT-23-3)"	"1"	"MMBT3904"	"CJ"	"C20526"	"0.013"
"13"	"330"	"R1"	"0603"	"1"	"0603WAF3300T5E"	"UniOhm"	"C23138"	"0.003"
"14"	"200"	"R2"	"0603"	"1"	"0603WAF2000T5E"	"UniOhm"	"C8218"	"0.004"
"15"	"470"	"R3"	"0603"	"1"	"0603WAF4700T5E"	"UniOhm"	"C23179"	"0.003"
"16"	"10K"	"R4,R9,R10"	"0402"	"3"	"0402WGF1002TCE"	"UniOhm"	"C25744"	"0.003"
"17"	"470"	"R5,R7"	"0402"	"2"	"0402WGF4700TCE"	"UniOhm"	"C25117"	"0.005"
"18"	"4.7K"	"R6,R8"	"0603"	"2"	"0603WAF4701T5E"	"UniOhm"	"C23162"	"0.003"
"19"	"1K"	"R11,R12"	"0402"	"2"	"0402WGF1001TCE"	"UniOhm"	"C11702"	"0.004"
"20"	"NO"	"U1"	"ARDUINO_NANO"	"1"	"?"	""	""	""
"21"	"MC7805ABD2TR4G"	"U2"	"TO-263-2_L10.0-W9.1-P5.08-LS15.2-BR"	"1"	"MC7805ABD2TR4G"	"ON"	"C152462"	"0.989"
